"Sentiment (1-negative, 2-neutral, 3-positive)"	Sentence
	"Clearly, that strategy is working."
	Your line is now open.
	So we've got about 65% of our store base covered.
	Krista Bessinger Great.
	"Next, I want to briefly talk about the impact of our new labor agreement."
	"Thanks, guys."
	"But right now, we're encouraged that we are moving these customers to the Starbucks Rewards level."
	"And this is how, speaking at a retail level, I think as what you’re addressing."
	Operator Your next question comes from the line of Brian Johnson with Barclays.
	Some of that is the costing improvements we've been driving through with the supply chain efficiencies and the new go-to-market process.
	"John Shrewsberry Yes, I think it's a good point, there's a real opportunity for, for taking best-in-class and then making it much more efficient."
	I'll start this off and I'll hand it off to Dave and he'll give you a little color on the margins.
	"It's just that we're now able to use data, like Kevin said, much more purposefully to actually understand what matters to this consumer."
	"We're seeing begin to improve overtime, but there isn't anything else that we know of in terms of dis-synergy, and if anything, again, we're seeing more positive revenue synergies that take on potential for the products in the C Caps in Europe for example is a good real live flow coming in."
	They have a lot of consumer applications.
	Operator Our next question comes from the line of Ross Sandler of Barclays.
	Good evening.
	We're going to continue to push the organization to continue to find cost opportunities.
	"Jamie Miller Hi, Andy."
	"All of this, of course, centers around three critical aspects of the brand – making great product that is authenticated to the power of sport, magnified by incredible storytelling and delivered by a team that loves this brand."
	And so we’re seeing a lot of excitement and a lot of development for edge AI.
	I’m often asked what’s next.
	"Infrastructure expense increased due to higher equipment expense reflecting the $105 million impairment of capitalized software, predominantly in our wealth and investment management business as well as higher occupancy expense."
	Look it's a great question and let me hit on a couple of points and I'll have Greg pitch into.
	Jennifer Lowe Great.
	It's been improving in the current market.
	"Starting with direct-to-consumer which came in slightly less than expected, third quarter revenue was down 1%, driven primarily by results in North America."
	"I guess the first one is Jensen, if you have any, I guess, high-level qualitative commentary on how the new SUPER upgrades of your Turing platform have been received in the market and how you might think about them progressing through the year."
	My expectation is that this is going to continue to be a big growth opportunity for us.
	"We work with more than 44,000 non-profit and higher education customers and our employees have given more than 4.3 million volunteer hours and we delivered nearly $300 million in grants which is pretty amazing."
	Dan Fannon Okay.
	"You mentioned the 8,500 advisors, you also in the past talked about the general account."
	Over half will be located in the U.S. and China combined with China delivering approximately 600 net new stores representing mid-teens growth versus the prior year.
	cRPO grew 23% in dollars and 25% in constant currency and we continue to put up solid organic revenue growth across each of our clouds and in our geographies.
	"Please go ahead, your line is open."
	It clear that your end run rate for expenses would be the $2.905 billion.
	"When you think about CapEx, to your question there, a couple of things that we've changed a little bit."
	So just that alone reduces the amount of time that a partner at the bar would need to take if they're preparing a beverage that has three shots of espresso in it.
	We do expect to continue to make investments there in order to sustain strong comp growth even as we have accelerated our pace of development.
	So that's not been a problem to-date and it's really just a matter of people adopting the new approach to how you get your food in your car.
	"So wanted to just maybe ask about a different topic and I apologize I was on a little bit late at Allen if you addressed it, but any update on where you stand on the consent order and remediating the operational risks and controls, and it seems like there's a lot of blocking and tackling there in terms of all of the processes that you're looking at identifying risk and controls and were appropriate remediating those."
	Adam Jonas I appreciate it.
	"And for Q&A we will be joined by Roz Brewer, Chief Operating Officer and Group President Americas; John Culver, Group President, International Channel Development and Global Coffee and Tea."
	And then within renewables progress collections that's $0.5 billion down year-to-date and backlog is up materially.
	"And I think that is the significant reason why we're seeing transaction traffic growth, we're seeing comp growth and we're seeing momentum across all aspects of Starbucks."
	Our last question comes from Kenneth Lee with RBC Capital Markets.
	And probably the most important to really look at is the second half non-repeat of the Power charges.
	So I’m really excited about what the pipeline looks like and very delighted really about carne asada going through this whole process and then everybody executing with excellence.
	"It's built on our industry leadership and improving battery range and reducing battery cell powers per kilowatt hour, and we expect this progress to continue."
	We expect to add approximately 2000 net new Starbucks stores globally in fiscal 2020 a sequential improvement over fiscal 2019.
	"Betsy Graseck Hi, good morning."
	It’s in the proxy.
	Ned Segal Thanks for the question BitcoinMunger.
	"Marty Flanagan I do want to come back to the product rationalization, think of, it's a small thing, not a big thing."
	Brian Nowak Thanks for taking my questions.
	The second part of DRIVE includes an end-to-end AV development system.
	I do in fact.
	"First, is the one time non-cash settlement charge of $166 million related to Salesforce.org reseller agreement."
	"They need to predict customer behavior and anticipate their customer needs, and they need to build modern mobile apps quickly and deliver the right services at the right time on any device."
	"With his combination of comp growth and unit growth, we are expecting enterprise-level top line growth of 6% to 8% in fiscal 2020."
	"Jack Hartung I mean, it's early but, yes, we would expect to Chipotlanes are going to be a higher return than the average portfolio."
	Andy Barish Thank you.
	And we're seeing a lot of momentum with other clients as a result of those three areas that I kind of talked about and Marty talked about within the institutional side.
	"So, from a full-year perspective next year, that's all considered."
	"So these came up over the course of the quarter and it wasn’t one particular day, there were more than one of these things."
	We firmly believe that our accounting practices and disclosures were appropriate.
	"Our built-in quality level 4, which leads to first better health and safety and better quality as measured by two months and 12 months warranty performance."
	I’m not going to talk about future… Adam Jonas I do.
	"And it also shows us that when we show up in the right way as a brand to the end consumer in full price, with the entire breath of our innovation and our brand for them, they respond, which is very encouraging to us."
	"Number two, those machines have Internet of Things sensors built into them."
	Operator That concludes today's conference.
	"Hey, John, wanted to ask about deposits -- deposit pricing."
	"In fact, IDC also forecasts global spending on customer experience alone to reach $641 billion by 2022."
	So it's been about $775 million year-to-date through the third quarter.
	"Loren Starr So Ken, on the first point that the synergies, you're correct, there's the $2 billion New Mexico outflow that is to be expected in the fourth quarter."
	"Public sectors, higher education and financial services were among the key verticals driving growth this quarter."
	"But Mary, what do you think of a Corvette SUV?"
	Operator Thank you.
	"To address this, we went back to a feature only Twitter experts make use of lists."
	These elevated digital experiences are key drivers of accelerated growth in Starbucks Rewards membership in China and provides significant momentum for us to introduce further innovations in fiscal year 2020 as we work to constantly elevate the customer experience and reward loyalty.
	Are they all at full potential?
	"Labor costs for the quarter were 26.6%, a decrease of 60 basis points from last year."
	"As the strike continued, our teams work tirelessly to ensure we could ship as many vehicles as possible to our dealers."
	Emmanuel Rosner I was hoping you can provide a little bit more color on your underlying performance this year excluding the strike to the extent that's possible?
	"In other words, delivering the right stuff to the right place at the right time."
	"Kevin Johnson Pat, why don't you take that, if you could?"
	I was at our Lynn Massachusetts military engine plant recently and heard operators following an Action Work-Out talk passionately about how lean triggers cultural change and greater accountability.
	So that that is hopefully it helps answer your question.
	Eric Compton Okay.
	"This discipline will help us overcome the impact of this strike we continue launching our heavy-duty trucks, the new Cadillac sedan."
	"Unidentified Analyst Understood, thanks for the clarification."
	We have made great strides in our transformation.
	Operator Thank you.
	And we're leveraging these insights to optimize our labor deployment going forward.
	Marty Flanagan Thank you.
	Do you have that number?
	"We added Einstein translation, Einstein Voice, Einstein Vision."
	Operator Your next question comes from the line of Ken Usdin with Jefferies.
	We published a shareholder letter on our Investor Relations website and with the SEC about an hour ago and hope everyone had a chance to read it.
	"Mary Barra Well, I think it's a -- there is many different components of the labor force."
	All those things are going to help us make sure we optimize the workforce and optimize our manufacturing costs.
	Thank you for taking the question and a very nice quarter.
	"While we no longer recognize trust and investment fees from this business, we will continue to administer client assets for up to 24 months, and the buyer will pay us a fee for certain costs we incurred during this transition period."
	I think that's a fourth quarter event.
	"And I guess the other question that we get asked a lot about and I'm sure others do on the line is, how do you think about the margin tradeoff that come with that bigger TAM?"
	"But when we look at what drove DAU, it was lots of things, including that people who have used the service in the past are - but maybe hadn't made it a part of their daily lives are using it even more number one."
	"Kevin Plank Thank you, Ed."
	"What we wanted to really make sure is we've got the people and capability in place and I think we're seeing more and more confidence as our stability has gone up, and as we've opened new restaurants, they continue to open really well."
	In addition to that from a flexibility standpoint what we’ve model in our downturn assumption is the ability to adjust the level of workforce based on what’s happening in the industry.
	FedEx will use Service Cloud Einstein in their call centers to drive agent productivity with AI-powered recommendations in Einstein analytics to get a deeper understanding of their customers needs across their business.
	And I'm also really delighted about the unlock that I think Chipotlanes is going to present for us from our new unit opportunities going forward.
	I think we're encouraged by what we see in Power Conversion.
	"Could you please provide us an update on the income and products in China like earlier in the year you were relatively optimistic about the sales and prospect potential from new launches including the first office, I think so called GEM Architecture."
	"Maybe you could talk a little bit at a higher level how the Under Armour approach to building product, product lines and platforms has evolved from the earlier days and how your role will fit in?"
	I’ll take those.
	Orders of $5.1 billion were up 1% reported and 2% organically.
	good morning.
	You mentioned Jack's comments.
	"Ken Worthington Hi, good morning."
	But do keep in mind that we hope that all the people we’ve hired this year will stay with us next year.
	"And at SIGGRAPH, we now have 27 different laptops shipping and more coming."
	"I want to be clear is that I love Under Armour and it is now today, tomorrow, will always remain my full-time priority and job."
	"In hyperscale portion, we continue to be impacted by relatively weak overall spending at a handful of CSPs."
	Operator From Gordon Haskett we have John Inch.
	"Inside the most transformative three-year chapter in our history, as my direct partner, Patrik has helped strengthen the foundational elements of our current vision, mission, and values, and co-architected the strategic playbook we are currently executing against."
	But even if they're not rising there's still leverage working against us in a declining rate environment.
	The next phase of AI is what we call vertical industry enterprise AI.
	"Equipment revenue was up 11%, driven by the delivery of 455 LEAP units, up 152 from last year, partially offset by CFM56 units down 75%."
	We don't see anything out of the new ordinary in chicken.
	I’ll tell you they’re opening up nicely.
	You talked a lot about product and it sounds like you're going to be a lot more focused and that sounds where a lot of your passion lies.
	We are restarting our operations very close to year end and the speed of production ramp and timing factors are very difficult to predict at this point.
	It looks like a pretty stable cost of goods sales environment for next year.
	"NVIDIA RTX technology has reinvigorated the computer graphics industry by enabling researchers and developers to take a leap in photorealistic rendering, augmented reality and virtual reality."
	It’s a large part of our business.
	So we've viewed that the historical gross sales.
	"This new group is under the leadership of Andy Rowe, who led Consumer Segments and Consumer Strategy for the last two years."
	And we've seen significant improvement also within the Henley fixed income side.
	That’s very helpful.
	Josh Pokrzywinski Just want to follow up on the Power order comment Jamie that you expect a lot of that to flip into the fourth quarter.
	"Jack Dorsey Thanks, Ross."
	We’re mentioning it more and more because it’s such an exciting book market for us is notebooks.
	"With that, I'll turn over the call to Pat and look forward to taking your questions later in the call."
	Allen Parker Yes.
	John Culver Yes.
	"Patrik Frisk Thanks, Kevin."
	"So, Under Armour is ready to run."
	We are seeing the LEAP/Passport impact in the transition but still largely very healthy at Aviation.
	"Patrik Frisk Yeah, sure."
	"So again, it has been a headwind."
	"However, we are prohibited from doing so."
	Customers are demanding that their interact with these companies in new ways.
	So you had some benefit from the change in the gift card breakage.
	"Our focus on MAP is much more intense, and something that we intend to get right."
	"And then second, bigger picture."
	"One of the things that gives us a lot of confidence is again going back to my opening remarks, we do believe Twitter works best when people see it more, as an interest network, they're able to quickly find and follow their interest and right now if we do a lot of work to find and follow related accounts."
	So let me wrap things up.
	Good evening.
	So the first question around cost from the bugs.
	"So our optimism, even though it’s very early is very strong and the economics with even a modest increase in sales at that kind of an incremental investment is going to be very attractive."
	"So I'll just give a brief overview of the results and Loren make a couple of comments, and again, we'll get the questions, so we’ll have more time to have a discussion."
	"And you can think of traditional investment capabilities that would be available, some of the other wire houses."
	"One is the sale of our ownership interest in Thailand in fiscal 2019, and how that extends then, with its impact into fiscal 2020."
	"Does that include the truck franchise, pickup truck industry and sales there still do not be strong throughout 2019."
	"But most importantly, we understand that our criticality toward success, the definition of what will actually get us there, is our ability to focus on ourselves to block out the noise and to keep marching forward and always going through."
	We'll secure the future of our Detroit-Hamtramck assembly plant with an all-new electric pickup truck that builds on established truck leadership.
	"At the end of the third quarter, we achieved 105% of our synergy target or $501 million of run rate expense reductions for the combined organizations."
	And we're very encouraged by what's happening in our performance run and also in our women's training footwear.
	Now let's take a closer look at North America.
	"So we're in our early test right now, but we do think this is a very strong feature and approach for us and I think we'll add a ton of capability and strength to the service."
	"Second, a few comments on G&A."
	"And as you can see, we had just incredible quarter here."
	Let me provide just a few examples of our most recent progress.
	So we've guided to a range of 6% to 8%.
	Net earnings per share was $1.08 loss.
	"And the way to think about data center, our data center business consists of hyperscale training, internal training, hyperscale inference, cloud computing – and that’s hyperscale, and that cloud is a public cloud."
	"And number two, we’re seeing a steady improvement in throughput aided by training, focus and providing our teams with an easy to use dashboard that provides greater visibility on performance."
	"There are, short-term, a few puts and takes here and there."
	Thank you for participating.
	"And yet, when we created CUDA in our GPUs, we went from 1 CPU core or one processor core to a few to now, in the case of large-scale systems, millions of processor cores."
	"On a product line basis Healthcare System orders were flat organically, driven by growth in Life Care Solutions, ultrasound and services offset by imaging largely due to China market dynamics and longer sales cycles on larger deals in the U.S. Life Sciences orders were up 10% organically."
	"We see evidence of Power stabilizing, but we're working through a number of nonoperational headwinds there."
	You also alluded to the fact that you were seeing a positive mix shift higher in terms of the price points of this RTX cycle.
	You guys saw some growth in Q2 driven primarily by enterprise.
	"Sharon Zackfia Hi, good afternoon."
	So as we talk to these executives about the future of growth you can't have growth without the great customer experience and that starts with service.
	But it is safe to assume that there will be a year-over-year headwind from a full size SUV perspective.
	"Patrik Frisk Thank you, Jay."
	"We’re expecting to fill open positions in Q4 and therefore, we believe our underlying G&A support will get to around $74 million to $75 million in Q4."
	These bugs affected our ability to target ads and share data with measurement and add partners.
	"We still see, you know, even when you look at the multitude of projections by 2030, is it 15%, is it 30% all in, that means the bells of the vehicles being sold in the country into rail combustion engine vehicles."
	Please go ahead.
	As a reminder our Q2 operating margin EPS results were affected by the settlement of our reseller agreement with Salesforce.org.
	"How are they impacting the market from a pricing perspective, wholesale order perspective?"
	"This leadership team has a proven track record of successfully navigating complex business issues, confronting headwinds and capitalizing on opportunity."
	Marty Flanagan You're welcome.
	"So what we've seen is giving people the access through ordering ahead, so that they don't have to get other car is a nice unlock for the Chipotle business so that we don't have to provide the additional complexity of running a traditional drive through."
	"Just to follow-up on the UK flows, I'm looking at it from a broader perspective."
	Thank you.
	"Because of our partners, we are achieving even higher levels of customer loyalty and brand preference."
	Question-and-Answer Session Operator Thank you.
	"Thanks, John."
	"When you look into 2020, that is something that largely does not repeat or we don't expect it to repeat in terms of the planning cycle."
	"So, we believe that the type of product we're now putting into the marketplace, the fact that we have less old product on the shelves is helping drive the sales."
	Reconciliations between our GAAP and non-GAAP results and guidance can be found in our earnings press release.
	The 150-Star tier continues to see the majority of the redemption volume.
	"Second quarter operating cash flow was $436 million, down 5% year-over-year."
	"Direct to consumer revenue was down 1% to $463 million, which was slightly lower than expected due to continued traffic and conversion challenges, primarily in our North American outlet and e-commerce businesses."
	"The reason that as it kind of turned negative here, it’s been largely because of the volatile market that we’ve been in and some of the fundings have slowed just because of the uncertainty, work that we’re doing in Europe and UK have definitely slowed to some extent just because of the – sort of the risk off a behavior that we’re seeing is people want to understand what direction – things are going in."
	"In transactional, what is gaining revenue a bit here is some fulfillment issues and operations and we've mentioned some of the operational issues we've had earlier in the year."
	"Non-GAAP operating margin declined by 510 basis points to 37.6% in Q4, when excluding the 310 basis point impact related to streamline, Channel Development's operating margin declined 200 basis points in Q4 fiscal 2019, primarily due to an and unfavorable shift in revenue mix."
	You have to do that at the edge.
	"And what we're seeing clients do where if you go back two and three and four years, it was more of what product does a client want and what do we have doesn't match off much more."
	Our next question comes from Michael Cyprys with Morgan Stanley.
	"Now if we don't give them a good experience when they get there, they are going to leave and may not come back or may not come back for some time."
	Our net charge-off rate remains near historic lows at 27 basis points.
	Katherine Fogertey Great.
	And so I think RTX is really geared for growth.
	"So right now, they’re in app all of those experiments."
	"And so going into it, we knew the supply available would take us through November to early December."
	"Alexandra Walvis Good morning, guys."
	Junior lien mortgage loans were down $1.2 billion from the second quarter as pay downs continue outpaces new originations.
	It's just that you're applying a different tax rate than the weighted average tax rate on the strike impact.
	Katherine Fogertey Great.
	"Maybe not as much of a decline from '18 to '19, but versus a number of scenarios, but it seems to be that would seem to capture it."
	"We're also seeing very good, strong uptick with Dolce Gusto, in the Dolce Gusto platform."
	"Kevin Plank Erinn, let me just weigh in on that as well that I covered in my script."
	Ray tracing is taking the gaming industry by storm and have quickly come to define the modern era of computer graphics.
	"And same for kind of the receivable supply chain program and aero allowances and all that sort of stuff, is there a meaningful year-to-year timing difference there?"
	"This reinforces our belief that the Starbucks Experience, delivered by our partners is a key competitive advantage."
	"And just, I wanted to have a couple questions on Corvette."
	"So, Marc and I have actually been flying around the world quite a bit."
	"Dhivya Suryadevara From a North American standpoint, yes, it was a very strong quarter."
	"So, again, we have plenty to work with what’s on our plate right now."
	Operator Your next question comes from the line of Rod Lache with Wolfe Research.
	"First one for me, I wanted to ask about gross margin."
	We booked 3.1 gigawatts of orders for 17 gas turbines including five H units and two aeroderivative units and Gas Power services transactional orders were up across parts and repairs for multi-outage deals.
	But when we just add up the things that happened this July and August and when we compare them to last year and when we think about how we expected them to play out and how they ended up playing out.
	So that's why you see the step up here in the back half relative to the sales of spares to GECAS and others.
	Does the new unit guidance then implicitly state that you guys are slowing down the pace of new restaurant adds?
	"With that said, where the opportunity exist, we've done one, and not surprising, we saw positive result given for what Jack said earlier, when you get people more access with less friction, the order ahead business continues to take steps forward."
	Operator The next question is from Andy Barish with Jefferies.
	Or could there be folks then get hired out in California to work on cruise?
	"So, we're happy about it."
	A total of 27 RTX Studio models have been announced by major OEMs.
	"Turning to expenses on page 15, expenses increased from both the second quarter and a year ago, largely due to higher operating losses, primarily reflecting litigation accruals."
	"Greg McGreevey So look with MassMutual, again, I'd say early days, it's a very strong robust relationship and we're working through those multiple areas that we've talked about."
	"I wanted just Keith Block opinion on or perspective on potential synergies from the recent acquisitions particularly Tableau, given the success you guys have seen with MuleSoft over the past year, where should we expect sort of the biggest synergies?"
	"We're a good ways down the road, but I think it's fair to say that we have a substantial amount of additional work to do and of course at the same time we've designed and implemented and we're constantly working -- doing enhance our new risk management framework, and that's fundamentally transforming how we manage risk every day throughout the organization in a way that I would describe as much more comprehensive integrated and consistent, and at the same time, we're enhancing frontline risk, independent risk management and the audit function."
	"John Shrewsberry Yes, well, it's complicated, because there's a lot of things going into it include where rates go versus what the market is suggesting, what happens with loan pricing, deposit pricing, and a variety of things, but if we, in the various scenarios that we run thinking about, let's say, the 9/30 implied forward curve, which suggests Fed funds in the 170 area, 12/31 of this year the 10-year just under 170, and then a year forward, Fed funds in the 120 area and Fed funds still in the 170 -- pardon me, 10-year still in the 170 area."
	But that will be work that we all do together with Charlie after he arrives and then present conclusions at the right time.
	Jamie Miller Good morning.
	"And it affects companies from large industrials, transportation companies, retailers, you name it."
	"David Bergman Yeah, Jim."
	"Fortunate, I do want to spend on more time on this $2.9 billion, because I’m still actually a little confused by it, so I apologize, but my denseness."
	Thank you.
	But we actually do now 8.6 billion Einstein predictions a day using our market-leading artificial intelligence platform.
	Can you talk about how the sales and cost of the launch vehicles has extended relative to your expectation in China?
	"And we see that coming through, as we've refocused the team on price, higher-margin work."
	"I've had the opportunity to spend a great deal of time with Charlie, and I'm convinced that he has the right combination of experience, business savvy, and leadership ability to position Wells Fargo for an even more successful future."
	"Ned Segal Thanks, Mark."
	What do you think kind of resurrected that business?
	"As we look out to the fourth quarter, we expect lower earnings from Capital sequentially, driven by preferred dividend payments and lower asset sale gains."
	"We completed our rollout of Nitro Cold Brew across company-operated stores in the U.S., this summer and introduced new cold pumpkin beverage offering, the Pumpkin Cream Cold Brew."
	Thanks.
	And we believe that’s the right approach in creating an environment where our employees can thrive professionally as well as personally and be in a position to win not only today but also in the future.
	"Allen Parker Hi, Scott."
	"And then Larry, following up on your comment earlier about an uncertain macro environment, where do you think you're really seeing that in the business?"
	"And finally, we close our acquisition of Salesforce.org in the quarter and we continue to seek incredible demand in the non-profit and education verticals."
	Over time as you can see over the last several years we've been expanding that.
	Aviation is negatively impacted by the MAX grounding and that has largely been offset by timing-related items.
	"So as we move forward together, we’re going to continue to build on the strong foundation we’ve laid and share and allow them to share on the future success of the Company."
	Can you remind us of your latest estimate of North America breakeven expressed in terms of U.S. light vehicle SAR and whether the contract changes that breakeven while?
	"I guess I would just – quick reminder, the Q3 growth rate down 12%."
	"So that's generally the headwind, tailwinds the remaining cost saving so far, we've achieved close to $2.4 billion of cost savings and the remaining cost savings are going to be realized over a period of time, according to our revised guidance."
	You break that down I think what we saw really was a fair bit of encouraging news in terms of the way the team was delivering the step up in volume particularly onshore here in the U.S. and some of the progress that we're making on our cost productivity programs.
	Excitement around these titles is tremendous.
	Thanks for taking the questions.
	"And you could just imagine every single hyperscaler racing to go make this possible because recently, we had some important breakthroughs in machine learning language models."
	There's a significant amount of change that's happening from the current generation to the next generation.
	"And how should we be thinking about the cadence for GM Financial going forward and what that might, may mean for releasing cash from that business?"
	"If I recall, there was a pretty big order from Ohio that came out."
	"Ken Worthington Okay, thank you."
	"And considering now that you have full Turing lineup as well as content truly coming to the forefront here, how do you think about trends beyond the October quarter?"
	Jamie Miller Yes.
	But we've got to do the engineering work and make the case to them better than we are today.
	"The BERT model that I mentioned earlier is really, really an important development, and it’s caused a large number of derivatives that has improved upon it and so near-term conversational AI inference."
	"Let me give you a couple of examples, which can help them come to life."
	Mark Hawkins You're welcome.
	I give Russell Stokes here a ton of credit.
	This is the artificial intelligence and machine learning that Kevin referred to earlier.
	So maybe talk about how the macro is kind of informing your thinking right now.
	"Then, your second question was around the new term that you came up with, I don't think I think about it as just about the events that happened."
	"With that, I'll turn it over to Patrik."
	Thank you.
	And these partners continue to invest in their Salesforce practices.
	And that's why we're optimistic about the future.
	And then I have one follow-up.
	There's clearly a lot of concern out there as to where the economy is globally and what are we going to be dealing with in 2020.
	It's about how you get recommendations and marketing after you've purchased something.
	We have a great initiative.
	"Relative to APAC, the 4% growth in Q3, we had always planned that this was going to be our lowest quarter of the year for APAC."
	So our emphasis so far has been on getting the vast majority of our sites should be on the end-cap.
	So maybe give more color there and how quickly you think you can improve that productivity on the service piece?
	We will lap this impact in the first quarter of fiscal 2020 at which point the benefit to our revenue and operating margin will already be embedded in our base.
	"And have laid the groundwork for what we expect will be another year of strong operating performance, in fiscal 2020."
	"John Murphy And Dhivya, in a competitive environment, have you seen any deterioration there?"
	"Jen-Hsun Huang Yes, Toshiya, I got to tell you, I’m less good at normal pre – near-term productions than I am good at thinking about long-term dynamics."
	"And top of mind for them is digital transformation, which begins and ends with the customer."
	"And then, I have a follow-up for Kevin."
	Greg McGreevey Good question.
	I have two for Colette.
	"Larry Culp  Hi, Andy."
	"Do you expect, going forward, that you'll be able to reverse that trend?"
	They are made out in the field.
	We haven't broken out MAP as a percentage of the business.
	"And then second, we hear from advertisers that their spend bounces around month-to-month, I know it's event driven."
	Question-and-Answer Session Operator [Operator Instructions] Your first question comes from the line of Douglas Anmuth of JPMorgan.
	We're pleased to be raising our full year FY 2020 revenue to $16.75 billion to $16.90 billion for full year growth of approximately 26% to 27%.
	"Good morning, everyone, and thanks for joining us for today's discussion of our third quarter results."
	"While staying on the topic of flows but moving away from U.S. retail, I’d like to point out that we continue to see a strong institutional pipeline."
	Our store development in the U.S. was also quite healthy as we grew net new stores by 3% in fiscal over 19 even with the higher level of closures relative to the prior year as we repositioned our store portfolio for future growth.
	And the enthusiasm has been great.
	Please proceed with your question.
	Peak intra-quarter short-term funding was $4.9 billion down from $13.7 billion last year and also flat to the second quarter.
	"It's important to note that while our external Industrial leverage target is net debt-to-EBITDA we also evaluate other measures internally including gross debt-to-EBITDA, and we will ultimately size our deleveraging actions across a range of measures."
	"And with hyperscalers racing to harness recent breakthroughs in conversational AI, we see growing engagements in training as well as interactive conversational inference."
	"And we've had some headwinds around performance that we're beginning to see sort of a turnaround and particularly in sort of recent months where you can see just how strong the comeback or the pullback in performances when we see some release on some of these macro topics for example, what we're seeing in terms of what's going on in Europe and the UK has a big impact on our UK business."
	When we think about how that comes through in future periods it is really difficult to predict.
	It will be a partnership.
	But I think it's really holistic.
	And that's the value they see in our Customer 360 platform.
	"We are going to continue to look at some of the other integration opportunities really around tech, run operations as well."
	"John Shrewsberry Hi, David."
	Kevin Plank Thank you very much.
	"We may reference certain non-GAAP financial information including adjusted and currency-neutral terms, which are defined in this morning's release."
	What do you see in the pricing sort of competitive landscape for pricing?
	This is Dave.
	Joe Moore Great.
	"Before we turn over the call to the operator for Q&A, I'd like to break from our typical company policy of not discussing any regulatory or litigation matters and briefly address an article published yesterday regarding an investigation by the SEC and the US Department of Justice."
	Your line is now open.
	"One last, if I may."
	You saw earlier in the week the IEA come out with a forecast that would suggest the renewables space could be a $1 trillion business over the next couple of decades.
	They use it for 3D content creation and high-definition video editing and image optimization and things like that.
	You're back in it with Alstom.
	"Thanks, Marty."
	"We think hydro can perform in line, if not better than competitors there."
	We're happy to be working constructively with the CMA as it conducts its review.
	That with a range of assumptions about loans and deposits probably gets us to down low-to-mid single digits in net interest income.
	"Starting as an apparel company, it had us adjusting to what does it mean to make footwear."
	"For the year, we reported top line growth of 7%."
	And I can’t make it fit in my head.
	"And it's about uses of cash, he says, can you address uses of cash going forward."
	"Leased financing increased $276 million from the second quarter, driven by growth in large ticket direct finance leases in equipment finance."
	"And while we’ve certainly realized some success in product-specific marketing efforts over the past couple of years, 2020 will be the first year since our transformation began that we will have the ability to put the right resources combined with the scale behind our brand marketing efforts."
	Ray traced games continue to gain momentum.
	"Salesforce is their number one CRM, and our Customer 360 platform is a leader in sales, in service, marketing, commerce, communities, integration, app dev and more."
	"But yes, we do expect our data center business to grow, and then we’ll see on the rest of our businesses as well."
	"Paul Lejuez Thanks, guys."
	"On slide 21, teller and ATM transactions declined 6% from a year ago reflecting continued customer migration to digital channels."
	"No, we certainly saw some softness there in the third quarter, Andy."
	"And the other aspect is, obviously, from a country mix standpoint, there's places where we, there's places that are more profitable and there are places that are less profitable, and we're going to direct the amount of inventory that we have towards the more profitable places as well."
	"As Marc said, we have an incredible opportunity ahead as more and more companies invest in their digital transformation."
	There's a lot that's underway as they look to manage that business closer to the customer while taking a good bit of cost out.
	The leadership team is in place.
