,id,sentiment,sentence,ticker,call_title,speaker,call_section,call_datetime,call_date,call_time
20,1995,,"From a raw material and tariff perspective to your point, I said this before in prior quarters, there's puts and takes, it's hard to look at just one number and paint it all with the same brush.",GM,"General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET",Dhivya Suryadevara,answer,2019-10-29 10:00:00,2019-10-29,10:00:00
21,3479,,We now cover 80% of our store base.,SBUX,"Starbucks Corporation (NASDAQ:SBUX) Q4 2019 Earnings Conference Call October 30, 2019  4:30 PM ET",John Culver,answer,2019-10-30 16:30:00,2019-10-30,16:30:00
22,1937,,"And don't underestimate the work that we've been doing on built-in quality level four, because for the plants that are already there, we definitely see just the fact that more vehicles are built in station means they spend, no time and repair.",GM,"General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET",Mary Barra,answer,2019-10-29 10:00:00,2019-10-29,10:00:00
23,1823,,Can you put the more detail what you thinking regionally and globally?,GM,"General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET",Itay Michaeli,question,2019-10-29 10:00:00,2019-10-29,10:00:00
24,3266,,"Additionally, with the lap of the leadership conference in fiscal 2019, we expect year-over-year non-GAAP EPS growth to be at its highest in Q4 for fiscal 2020.",SBUX,"Starbucks Corporation (NASDAQ:SBUX) Q4 2019 Earnings Conference Call October 30, 2019  4:30 PM ET",Pat Grismer,presentation,2019-10-30 16:30:00,2019-10-30,16:30:00
25,4671,,"It's tough getting to $5 billion, I'll tell you, in this industry.",UAA,"Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET",Kevin Plank,answer,2019-11-04 08:30:00,2019-11-04,08:30:00
26,2480,,But September was an especially strong month for performance within the Henley equity side and so we're travelling definitely in the right direction if you will.,IVZ,"Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET",Greg McGreevey,answer,2019-10-23 09:00:00,2019-10-23,09:00:00
27,2581,,Your line is open.,IVZ,"Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET",Operator,operator_instruction,2019-10-23 09:00:00,2019-10-23,09:00:00
28,2293,,Thanks for all the details.,IVZ,"Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET",Brian Bedell,question,2019-10-23 09:00:00,2019-10-23,09:00:00
29,2600,,"So again, source transaction was very important for us and we see that pace just picking up as we look to the future.",IVZ,"Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET",Marty Flanagan,answer,2019-10-23 09:00:00,2019-10-23,09:00:00
30,4399,,"I know you're not guiding to 2020, but just maybe contextualize how much the improved service level is showing into 4Q, so we could start to think about, I guess, our 1Q estimate correctly.",UAA,"Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET",Edward Yruma,question,2019-11-04 08:30:00,2019-11-04,08:30:00
31,792,,That was our kind of soul app if you will.,CRM,"Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET",Marc Benioff,answer,2019-08-22 17:00:00,2019-08-22,17:00:00
32,1603,,"Looking at North America, we delivered strong business performance in the quarter which was unfavorably impacted by the strike in the United States and increased warranty and retail cost related to our previous generation full size pickup trucks and full size SUV.",GM,"General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET",Mary Barra,presentation,2019-10-29 10:00:00,2019-10-29,10:00:00
33,2156,,"There's quite strong demand for global equities and its various flavors in a lot of markets outside of the U.S. And so we're seeing that, I think ETFs and the traction that Loren kind of mentioned with this when we're going to hopefully see in the first quarter and when it farms in solutions.",IVZ,"Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET",Greg McGreevey,answer,2019-10-23 09:00:00,2019-10-23,09:00:00
34,1073,,And how do we win?,GE,"General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET",Larry Culp,presentation,2019-10-30 08:00:00,2019-10-30,08:00:00
35,834,, Sure.,CRM,"Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET",Mark Hawkins,answer,2019-08-22 17:00:00,2019-08-22,17:00:00
36,1039,,"At Industrial, we sold a portion of our Baker Hughes stake for approximately $3 billion of proceeds and we exited Wabtec, bringing in another $1.6 billion.",GE,"General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET",Larry Culp,presentation,2019-10-30 08:00:00,2019-10-30,08:00:00
37,3708,,Our goal in rebuilding our core add and map technology stacks was to address exactly these sorts of issues and increase engineering agility.,TWTR,"Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET",Jack Dorsey,presentation,2019-10-24 08:00:00,2019-10-24,08:00:00
38,2942,,"And so, I think the way to think about Volta is that it’s surely in its prime, and it’s going to keep continue to do well all the way through next year.",NVDA,"NVIDIA Corporation (NASDAQ:NVDA) Q2 2020 Earnings Conference Call August 15, 2019  5:30 PM ET",Jen-Hsun Huang,answer,2019-08-15 17:30:00,2019-08-15,17:30:00
39,4012,,Thanks.,TWTR,"Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET",Brian Nowak,question,2019-10-24 08:00:00,2019-10-24,08:00:00
40,4063,,"I'd like to start today's call by touching on the announcement we made a couple weeks back that effective January 1, 2020, I will be transitioning to Under Armour's Executive Chairman and Brand Chief and Patrik Frisk will become our Chief Executive Officer.",UAA,"Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET",Kevin Plank,presentation,2019-11-04 08:30:00,2019-11-04,08:30:00
41,1404,,"I'm not sure we're in a position to quantify that specifically today for you as those conversations are ongoing, but that's really what's happening.",GE,"General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET",Larry Culp,answer,2019-10-30 08:00:00,2019-10-30,08:00:00
42,933,,And all those technologies you mentioned the challenges that we hear in the market is these customers are excited about these new technologies and what they could do for their customer experience.,CRM,"Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET",Bret Taylor,answer,2019-08-22 17:00:00,2019-08-22,17:00:00
43,799,,And that does span the entire portfolio.,CRM,"Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET",Bret Taylor,answer,2019-08-22 17:00:00,2019-08-22,17:00:00
44,1651,,"Adjusting for the impact of the strike, EPS would have been $2.24 an all-time quarterly record.",GM,"General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET",Dhivya Suryadevara,presentation,2019-10-29 10:00:00,2019-10-29,10:00:00
45,2213,," Okay, thanks.",IVZ,"Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET",Mike Carrier,question,2019-10-23 09:00:00,2019-10-23,09:00:00
46,457,,Please go ahead.,CMG,"Chipotle Mexican Grill, Inc. (NYSE:CMG) Q3 2019 Earnings Conference Call October 22, 2019  4:30 PM ET",Operator,operator_instruction,2019-10-22 16:30:00,2019-10-22,16:30:00
47,1577,,"I would now like to turn the conference over to Rocky Gupta, Treasurer and Vice President of Investor Relations.",GM,"General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET",Operator,operator_instruction,2019-10-29 10:00:00,2019-10-29,10:00:00
48,881,,We're so pleased about that and so excited about that.,CRM,"Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET",Mark Hawkins,answer,2019-08-22 17:00:00,2019-08-22,17:00:00
49,4155,,"SG&A expense increased 4% to $551 million, which was better than expected due to our continued cost management efforts as well as unrealized marketing spend that will be utilized in the fourth quarter, coupled with lower-than-planned depreciation from timing of store openings and capital expenditures.",UAA,"Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET",David Bergman ,presentation,2019-11-04 08:30:00,2019-11-04,08:30:00
50,1277,,That said that was fundamentally offset by a number of the legacy issues that we referenced in the prepared remarks and the consolidation of the Alstom JVs.,GE,"General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET",Larry Culp,answer,2019-10-30 08:00:00,2019-10-30,08:00:00
51,2000,,You're going to have a full year of heavy-duty trucks and the product launches that I talked about.,GM,"General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET",Dhivya Suryadevara,answer,2019-10-29 10:00:00,2019-10-29,10:00:00
52,2358,,"Sorry if that's a – if it was redundant and previously indicated, I just wanted to clarify.",IVZ,"Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET",Brennan Hawken,question,2019-10-23 09:00:00,2019-10-23,09:00:00
53,839,,That's certainly an area that we're making progress as well.,CRM,"Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET",Mark Hawkins,answer,2019-08-22 17:00:00,2019-08-22,17:00:00
54,4,,"I would now like to turn the conference over to Ashish Kohli, Global Head of IR.",CMG,"Chipotle Mexican Grill, Inc. (NYSE:CMG) Q3 2019 Earnings Conference Call October 22, 2019  4:30 PM ET",Operator,operator_instruction,2019-10-22 16:30:00,2019-10-22,16:30:00
55,280,,So that’s what gives us confidence that we’re far from the ceiling on this.,CMG,"Chipotle Mexican Grill, Inc. (NYSE:CMG) Q3 2019 Earnings Conference Call October 22, 2019  4:30 PM ET",Brian Niccol,answer,2019-10-22 16:30:00,2019-10-22,16:30:00
56,4383,,"So, you're seeing a bit of a shift in terms of the footwear portfolio, if you like, that we have this year, but we have, like Kevin alluded to earlier here, a very, very strong belief in our footwear innovation pipeline going forward.",UAA,"Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET",Patrik Frisk,answer,2019-11-04 08:30:00,2019-11-04,08:30:00
57,4916,, Yes.,WFC,"Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET",Allen Parker,answer,2019-10-15 11:00:00,2019-10-15,11:00:00
58,1675,,"While we continue to work on strike recovery efforts, we anticipate that we have small portion of the losses sustained during this strike can be recovered this year due to capacity constraints.",GM,"General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET",Dhivya Suryadevara,presentation,2019-10-29 10:00:00,2019-10-29,10:00:00
59,2229,,But I would say it's a real even fight in terms of the things that are sort of helping us on the fee rate on the positive side versus things that may be putting it to the flip side.,IVZ,"Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET",Loren Starr,answer,2019-10-23 09:00:00,2019-10-23,09:00:00
60,678,,Q2 GAAP EPS was $0.11 and non-GAAP was $0.66.,CRM,"Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET",Mark Hawkins,presentation,2019-08-22 17:00:00,2019-08-22,17:00:00
61,3456,,"And then John, why don't you do the same on China?",SBUX,"Starbucks Corporation (NASDAQ:SBUX) Q4 2019 Earnings Conference Call October 30, 2019  4:30 PM ET",Kevin Johnson,answer,2019-10-30 16:30:00,2019-10-30,16:30:00
62,200,,"I believe, you said 7 million loyalty members.",CMG,"Chipotle Mexican Grill, Inc. (NYSE:CMG) Q3 2019 Earnings Conference Call October 22, 2019  4:30 PM ET",Nicole Miller,question,2019-10-22 16:30:00,2019-10-22,16:30:00
63,3847,,"It’s too early to quantify at both because we’re working hard on remediation, also because we’re not giving guidance for 2020 yet, but there will be some continued impact from these things.",TWTR,"Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET",Jack Dorsey,answer,2019-10-24 08:00:00,2019-10-24,08:00:00
64,4676,, Thank you very much.,UAA,"Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET",Kevin Plank,answer,2019-11-04 08:30:00,2019-11-04,08:30:00
65,2627,,"My name is Christina, and I will be your conference operator today.",NVDA,"NVIDIA Corporation (NASDAQ:NVDA) Q2 2020 Earnings Conference Call August 15, 2019  5:30 PM ET",Operator,operator_instruction,2019-08-15 17:30:00,2019-08-15,17:30:00
66,3415,,"As we've discussed before, delivery transactions are on the margin dilutive to our total margin.",SBUX,"Starbucks Corporation (NASDAQ:SBUX) Q4 2019 Earnings Conference Call October 30, 2019  4:30 PM ET",Pat Grismer,answer,2019-10-30 16:30:00,2019-10-30,16:30:00
67,3593,,I know there were some theories out there in the last couple of years when it did decelerate that perhaps the brand was hitting its max as a premium position brand.,SBUX,"Starbucks Corporation (NASDAQ:SBUX) Q4 2019 Earnings Conference Call October 30, 2019  4:30 PM ET",Matthew DiFrisco,question,2019-10-30 16:30:00,2019-10-30,16:30:00
68,473,,"Brian, given the supply of Carne Asada, it is going to run out late November, what are the plans to continue driving usage from guests that came in for the product.",CMG,"Chipotle Mexican Grill, Inc. (NYSE:CMG) Q3 2019 Earnings Conference Call October 22, 2019  4:30 PM ET",Chris O'Cull,question,2019-10-22 16:30:00,2019-10-22,16:30:00
69,3841,,So is that’s because the bugs are causing deceleration in places like Japan or is it that the users are coming in country [ph] but that may not offer as higher monetization potential.,TWTR,"Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET",Ross Sandler,question,2019-10-24 08:00:00,2019-10-24,08:00:00
70,5041,,We have obviously in response to the article that appeared gone back and looked at all our account closure information and we've been working very hard.,WFC,"Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET",Allen Parker,answer,2019-10-15 11:00:00,2019-10-15,11:00:00
71,1752,, Yes.,GM,"General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET",Dhivya Suryadevara,answer,2019-10-29 10:00:00,2019-10-29,10:00:00
72,5124,,There is a great deal of work to do to meet the expectations of our regulators.,WFC,"Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET",Allen Parker,answer,2019-10-15 11:00:00,2019-10-15,11:00:00
73,3987,,"And it's about uses of cash, he says, can you address uses of cash going forward.",TWTR,"Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET",Krista Bessinger,answer,2019-10-24 08:00:00,2019-10-24,08:00:00
74,1344,,"As you know when we talk about renewables, the bulk of our revenue today comes from our onshore wind business.",GE,"General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET",Larry Culp,answer,2019-10-30 08:00:00,2019-10-30,08:00:00
75,827,,Your line is now open.,CRM,"Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET",Operator,operator_instruction,2019-08-22 17:00:00,2019-08-22,17:00:00
76,552,,"Over 50 years ago when he was at UC, Berkeley, and it's great to see the BR team take this incredibly progressive stance and I'm just very grateful to them because of course at Salesforce we do believe that business is the greatest platform for change.",CRM,"Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET",Marc Benioff,presentation,2019-08-22 17:00:00,2019-08-22,17:00:00
77,2831,,AI is not just one network.,NVDA,"NVIDIA Corporation (NASDAQ:NVDA) Q2 2020 Earnings Conference Call August 15, 2019  5:30 PM ET",Jen-Hsun Huang,answer,2019-08-15 17:30:00,2019-08-15,17:30:00
78,4421,,"So, today, we stick with roughly four, we call, midsole technologies for our footwear.",UAA,"Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET",Kevin Plank,answer,2019-11-04 08:30:00,2019-11-04,08:30:00
79,2488,,"The Brexit coming into the market environment has been a tremendous headwind for us, but that's a high degree of confidence in our investment teams.",IVZ,"Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET",Marty Flanagan,answer,2019-10-23 09:00:00,2019-10-23,09:00:00
80,1051,,"At Aviation, we have a strong global franchise with an installed base of nearly 70,000 engines.",GE,"General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET",Larry Culp,presentation,2019-10-30 08:00:00,2019-10-30,08:00:00
81,1134,,"Beyond the $5 billion debt tender completed, we announced pre-funding the GE pension plan by about $4 billion to $5 billion meeting the estimated minimum ERISA funding requirements for 2021 and 2022 and this will be completed in 2020.",GE,"General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET",Jamie Miller,presentation,2019-10-30 08:00:00,2019-10-30,08:00:00
82,4780,,Commercial loans were stable linked quarter as growth in C&I loans and leased financing was largely offset by declines in commercial real estate loans.,WFC,"Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET",John Shrewsberry,presentation,2019-10-15 11:00:00,2019-10-15,11:00:00
83,4199,," Good morning, guys.",UAA,"Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET",Alexandra Walvis,question,2019-11-04 08:30:00,2019-11-04,08:30:00
84,1600,,"However, we have a lot of work to do in many areas, as the loss profits from the work stoppage were significant.",GM,"General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET",Mary Barra,presentation,2019-10-29 10:00:00,2019-10-29,10:00:00
85,2815,,Can that happen sometime – later this year?,NVDA,"NVIDIA Corporation (NASDAQ:NVDA) Q2 2020 Earnings Conference Call August 15, 2019  5:30 PM ET",Vivek Arya,question,2019-08-15 17:30:00,2019-08-15,17:30:00
86,428,,"And I know you're reluctant to give numbers in details on Chipotlane, but when you talk about year-to-cash on cash returns for new store of around 40%.",CMG,"Chipotle Mexican Grill, Inc. (NYSE:CMG) Q3 2019 Earnings Conference Call October 22, 2019  4:30 PM ET",Andrew Charles,question,2019-10-22 16:30:00,2019-10-22,16:30:00
87,4479,,And what are some of those key levers for improvement as we look around the corner to next year and beyond?,UAA,"Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET",Jim Duffy,question,2019-11-04 08:30:00,2019-11-04,08:30:00
88,4713,,"After the speakers' remarks, there will be a question-and-answer session.",WFC,"Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET",Operator,operator_instruction,2019-10-15 11:00:00,2019-10-15,11:00:00
89,2319,,And then is there any shift in capital priorities overall?,IVZ,"Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET",Ryan Bailey,question,2019-10-23 09:00:00,2019-10-23,09:00:00
90,3581,,We will lap this impact in the first quarter of fiscal 2020 at which point the benefit to our revenue and operating margin will already be embedded in our base.,SBUX,"Starbucks Corporation (NASDAQ:SBUX) Q4 2019 Earnings Conference Call October 30, 2019  4:30 PM ET",Pat Grismer,answer,2019-10-30 16:30:00,2019-10-30,16:30:00
91,2119,,"And with that, operator, I’d ask you to please open up the call for Q&A.",IVZ,"Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET",Loren Starr,presentation,2019-10-23 09:00:00,2019-10-23,09:00:00
92,1271,,"Andrew, I don't think we tried to talk about renewables more or less than any of our four big Industrial segments.",GE,"General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET",Larry Culp,answer,2019-10-30 08:00:00,2019-10-30,08:00:00
93,4944,,"So, I guess the low single-digit growth rates for loans and deposits is probably a reasonable proxy for a reasonable placeholder for thinking about how 2020 unfolds, could be a range of different outcomes, but that would be consistent with what I mentioned earlier in terms of how you might forecast the different rate paths and getting to a low to mid single-digits down percentage in net interest income for 2020 versus 2019.",WFC,"Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET",John Shrewsberry,answer,2019-10-15 11:00:00,2019-10-15,11:00:00
94,871,,And Mark I know you have some comments specifically on the Tableau.,CRM,"Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET",Marc Benioff,answer,2019-08-22 17:00:00,2019-08-22,17:00:00
95,4582,,And that's it for me.,UAA,"Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET",Jay Sole,question,2019-11-04 08:30:00,2019-11-04,08:30:00
96,2928,,Thanks.,NVDA,"NVIDIA Corporation (NASDAQ:NVDA) Q2 2020 Earnings Conference Call August 15, 2019  5:30 PM ET",Timothy Arcuri,question,2019-08-15 17:30:00,2019-08-15,17:30:00
97,4018,,"That along with continuing to improve relevance, better formats and moving down the funnel in terms of the types of advertising that is available, those are all things that ought to help us from the auction dynamics perspective.",TWTR,"Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET",Jack Dorsey,answer,2019-10-24 08:00:00,2019-10-24,08:00:00
98,33,,"Specifically, digital providing more frictionless access, marketing enhancing awareness and emphasizing the deliciousness of carne asada operations, delighting our guests with great hospitality and throughput and our supply chain, ensuring we have the highest quality ingredients that meet our food with integrity standards.",CMG,"Chipotle Mexican Grill, Inc. (NYSE:CMG) Q3 2019 Earnings Conference Call October 22, 2019  4:30 PM ET",Brian Niccol,presentation,2019-10-22 16:30:00,2019-10-22,16:30:00
