|id|Sentiment|sentence|ticker|call_title|speaker|call_section
55|280|4.0|So that’s what gives us confidence that we’re far from the ceiling on this.|CMG|Chipotle Mexican Grill, Inc. (NYSE:CMG) Q3 2019 Earnings Conference Call October 22, 2019  4:30 PM ET|Brian Niccol|answer
56|4383|4.0|So, you're seeing a bit of a shift in terms of the footwear portfolio, if you like, that we have this year, but we have, like Kevin alluded to earlier here, a very, very strong belief in our footwear innovation pipeline going forward.|UAA|Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET|Patrik Frisk|answer
57|4916|3.0| Yes.|WFC|Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET|Allen Parker|answer
58|1675|2.0|While we continue to work on strike recovery efforts, we anticipate that we have small portion of the losses sustained during this strike can be recovered this year due to capacity constraints.|GM|General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET|Dhivya Suryadevara|presentation
59|2229|1.0|But I would say it's a real even fight in terms of the things that are sort of helping us on the fee rate on the positive side versus things that may be putting it to the flip side.|IVZ|Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET|Loren Starr|answer
60|678|3.0|Q2 GAAP EPS was $0.11 and non-GAAP was $0.66.|CRM|Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET|Mark Hawkins|presentation
61|3456|3.0|And then John, why don't you do the same on China?|SBUX|Starbucks Corporation (NASDAQ:SBUX) Q4 2019 Earnings Conference Call October 30, 2019  4:30 PM ET|Kevin Johnson|answer
62|200|3.0|I believe, you said 7 million loyalty members.|CMG|Chipotle Mexican Grill, Inc. (NYSE:CMG) Q3 2019 Earnings Conference Call October 22, 2019  4:30 PM ET|Nicole Miller|question
63|3847|2.0|It’s too early to quantify at both because we’re working hard on remediation, also because we’re not giving guidance for 2020 yet, but there will be some continued impact from these things.|TWTR|Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET|Jack Dorsey|answer
64|4676|3.0| Thank you very much.|UAA|Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET|Kevin Plank|answer
65|2627|3.0|My name is Christina, and I will be your conference operator today.|NVDA|NVIDIA Corporation (NASDAQ:NVDA) Q2 2020 Earnings Conference Call August 15, 2019  5:30 PM ET|Operator|operator_instruction
66|3415|1.0|As we've discussed before, delivery transactions are on the margin dilutive to our total margin.|SBUX|Starbucks Corporation (NASDAQ:SBUX) Q4 2019 Earnings Conference Call October 30, 2019  4:30 PM ET|Pat Grismer|answer
67|3593|1.0|I know there were some theories out there in the last couple of years when it did decelerate that perhaps the brand was hitting its max as a premium position brand.|SBUX|Starbucks Corporation (NASDAQ:SBUX) Q4 2019 Earnings Conference Call October 30, 2019  4:30 PM ET|Matthew DiFrisco|question
68|473|1.0|Brian, given the supply of Carne Asada, it is going to run out late November, what are the plans to continue driving usage from guests that came in for the product.|CMG|Chipotle Mexican Grill, Inc. (NYSE:CMG) Q3 2019 Earnings Conference Call October 22, 2019  4:30 PM ET|Chris O'Cull|question
69|3841|1.0|So is that’s because the bugs are causing deceleration in places like Japan or is it that the users are coming in country [ph] but that may not offer as higher monetization potential.|TWTR|Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET|Ross Sandler|question
70|5041|2.0|We have obviously in response to the article that appeared gone back and looked at all our account closure information and we've been working very hard.|WFC|Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET|Allen Parker|answer
71|1752|3.0| Yes.|GM|General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET|Dhivya Suryadevara|answer
72|5124|2.0|There is a great deal of work to do to meet the expectations of our regulators.|WFC|Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET|Allen Parker|answer
73|3987|2.0|And it's about uses of cash, he says, can you address uses of cash going forward.|TWTR|Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET|Krista Bessinger|answer
74|1344|3.0|As you know when we talk about renewables, the bulk of our revenue today comes from our onshore wind business.|GE|General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET|Larry Culp|answer
75|827|3.0|Your line is now open.|CRM|Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET|Operator|operator_instruction
76|552|5.0|Over 50 years ago when he was at UC, Berkeley, and it's great to see the BR team take this incredibly progressive stance and I'm just very grateful to them because of course at Salesforce we do believe that business is the greatest platform for change.|CRM|Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET|Marc Benioff|presentation
77|2831|2.0|AI is not just one network.|NVDA|NVIDIA Corporation (NASDAQ:NVDA) Q2 2020 Earnings Conference Call August 15, 2019  5:30 PM ET|Jen-Hsun Huang|answer
78|4421|3.0|So, today, we stick with roughly four, we call, midsole technologies for our footwear.|UAA|Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET|Kevin Plank|answer
79|2488|1.0|The Brexit coming into the market environment has been a tremendous headwind for us, but that's a high degree of confidence in our investment teams.|IVZ|Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET|Marty Flanagan|answer
80|1051|4.0|At Aviation, we have a strong global franchise with an installed base of nearly 70,000 engines.|GE|General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET|Larry Culp|presentation
81|1134|4.0|Beyond the $5 billion debt tender completed, we announced pre-funding the GE pension plan by about $4 billion to $5 billion meeting the estimated minimum ERISA funding requirements for 2021 and 2022 and this will be completed in 2020.|GE|General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET|Jamie Miller|presentation
82|4780|2.0|Commercial loans were stable linked quarter as growth in C&I loans and leased financing was largely offset by declines in commercial real estate loans.|WFC|Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET|John Shrewsberry|presentation
83|4199|3.0| Good morning, guys.|UAA|Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET|Alexandra Walvis|question
84|1600|1.0|However, we have a lot of work to do in many areas, as the loss profits from the work stoppage were significant.|GM|General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET|Mary Barra|presentation
85|2815|2.0|Can that happen sometime – later this year?|NVDA|NVIDIA Corporation (NASDAQ:NVDA) Q2 2020 Earnings Conference Call August 15, 2019  5:30 PM ET|Vivek Arya|question
86|428|2.0|And I know you're reluctant to give numbers in details on Chipotlane, but when you talk about year-to-cash on cash returns for new store of around 40%.|CMG|Chipotle Mexican Grill, Inc. (NYSE:CMG) Q3 2019 Earnings Conference Call October 22, 2019  4:30 PM ET|Andrew Charles|question
87|4479|2.0|And what are some of those key levers for improvement as we look around the corner to next year and beyond?|UAA|Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET|Jim Duffy|question
88|4713|3.0|After the speakers' remarks, there will be a question-and-answer session.|WFC|Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET|Operator|operator_instruction
89|2319|2.0|And then is there any shift in capital priorities overall?|IVZ|Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET|Ryan Bailey|question
90|3581|4.0|We will lap this impact in the first quarter of fiscal 2020 at which point the benefit to our revenue and operating margin will already be embedded in our base.|SBUX|Starbucks Corporation (NASDAQ:SBUX) Q4 2019 Earnings Conference Call October 30, 2019  4:30 PM ET|Pat Grismer|answer
91|2119|3.0|And with that, operator, I’d ask you to please open up the call for Q&A.|IVZ|Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET|Loren Starr|presentation
92|1271|2.0|Andrew, I don't think we tried to talk about renewables more or less than any of our four big Industrial segments.|GE|General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET|Larry Culp|answer
93|4944|2.0|So, I guess the low single-digit growth rates for loans and deposits is probably a reasonable proxy for a reasonable placeholder for thinking about how 2020 unfolds, could be a range of different outcomes, but that would be consistent with what I mentioned earlier in terms of how you might forecast the different rate paths and getting to a low to mid single-digits down percentage in net interest income for 2020 versus 2019.|WFC|Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET|John Shrewsberry|answer
94|871|3.0|And Mark I know you have some comments specifically on the Tableau.|CRM|Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET|Marc Benioff|answer
95|4582|3.0|And that's it for me.|UAA|Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET|Jay Sole|question
96|2928|3.0|Thanks.|NVDA|NVIDIA Corporation (NASDAQ:NVDA) Q2 2020 Earnings Conference Call August 15, 2019  5:30 PM ET|Timothy Arcuri|question
97|4018|4.0|That along with continuing to improve relevance, better formats and moving down the funnel in terms of the types of advertising that is available, those are all things that ought to help us from the auction dynamics perspective.|TWTR|Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET|Jack Dorsey|answer
98|33|5.0|Specifically, digital providing more frictionless access, marketing enhancing awareness and emphasizing the deliciousness of carne asada operations, delighting our guests with great hospitality and throughput and our supply chain, ensuring we have the highest quality ingredients that meet our food with integrity standards.|CMG|Chipotle Mexican Grill, Inc. (NYSE:CMG) Q3 2019 Earnings Conference Call October 22, 2019  4:30 PM ET|Brian Niccol|presentation
99|870|5.0|So we're super excited about that.|CRM|Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET|Marc Benioff|answer
100|3025|3.0|The install base of Pascal has a very, very little notebook in it.|NVDA|NVIDIA Corporation (NASDAQ:NVDA) Q2 2020 Earnings Conference Call August 15, 2019  5:30 PM ET|Jen-Hsun Huang|answer
101|2402|3.0|That’s helpful, thanks.|IVZ|Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET|Patrick Davitt|question
102|4285|3.0| Hi, Erinn.|UAA|Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET|Patrik Frisk|answer
103|1718|2.0| I think it's really hard to call that now, Joe, partially because you also need to figure out what the trucking industry is going to be like i.e.|GM|General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET|Dhivya Suryadevara|answer
104|2444|5.0|Real estate continues to be a major driver of opportunity for the firm overall.|IVZ|Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET|Loren Starr|answer
105|4344|3.0|And this has been an evolution over the last two years.|UAA|Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET|Patrik Frisk|answer
106|4187|3.0|To this effect, we began responding back in July of 2017 to their request for documents and information.|UAA|Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET|David Bergman |presentation
107|2237|3.0|Good morning, folks.|IVZ|Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET|Brian Bedell|question
108|1140|1.0|Power Portfolio orders were down 54% reported and down 34% organically, largely driven by steam power system down 49% due to a non-repeat of a large nuclear equipment supply contract.|GE|General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET|Jamie Miller|presentation
109|1596|1.0|They were in constant contact with us throughout the work stoppage and ensuring as they would be ready for a prompt, safe restart once the new contract was ratified.|GM|General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET|Mary Barra|presentation
110|2903|4.0|These drivers are one of the largest reasons why we see that growth in our gross margin.|NVDA|NVIDIA Corporation (NASDAQ:NVDA) Q2 2020 Earnings Conference Call August 15, 2019  5:30 PM ET|Colette Kress|answer
111|2166|2.0|I think that's a fourth quarter event.|IVZ|Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET|Ken Worthington|question
112|1684|3.0|Next, I want to briefly talk about the impact of our new labor agreement.|GM|General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET|Dhivya Suryadevara|presentation
113|2179|3.0|In terms of the $501 million, that number is net of investments.|IVZ|Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET|Loren Starr|answer
114|3976|2.0|It varies from quarter-to-quarter, from geography-to-geography, from the year-to-year.|TWTR|Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET|Ned Segal|answer
115|4865|1.0|The remainder of the expected reduction in our allowance predominantly related to the increase in collateral value of residential mortgage loans, which were written down significantly below current recovery value during the last credit cycle.|WFC|Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET|John Shrewsberry|presentation
116|4539|4.0|We have a larger amount of door openings in Q4, both partner and own doors.|UAA|Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET|David Berman|answer
117|2197|4.0|So look what we think are fundamental strengths of our organization.|IVZ|Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET|Marty Flanagan|answer
118|5097|3.0| Hey, guys, thanks for taking my question.|WFC|Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET|Saul Martinez|question
119|3189|5.0|Lapping 4% comp sales growth in Q4 of last year, our U.S. business delivered an impressive 6% comp sales growth in Q4 of this year, driven equally by transactions and average ticket.|SBUX|Starbucks Corporation (NASDAQ:SBUX) Q4 2019 Earnings Conference Call October 30, 2019  4:30 PM ET|Pat Grismer|presentation
120|4276|3.0|Your line is now open.|UAA|Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET|Operator|operator_instruction
121|694|1.0|Turning to our outlook for operating margins we now expect FY 2020 non-GAAP operating margins to be down approximately 50 basis points year-over-year.|CRM|Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET|Mark Hawkins|presentation
